head_centroid_x,body_centroid_x,head_velocity_x,body_velocity_x,head_acceleration_x,body_acceleration_x,body_acceleration_squared_x,head_acceleration_squared_x,head_centroid_y,body_centroid_y,head_velocity_y,body_velocity_y,head_acceleration_y,body_acceleration_y,body_acceleration_squared_y,head_acceleration_squared_y,behavior
260.10597743988035,195.03839623133342,23.1740409851074,10.87884421348571,-7.327817355031541,20.67301854845407,338.32848760522654,292.77692987884564,358.48937772115073,285.987619527181,-2.343429374694807,7.033233483632427,-12.069974168141657,3.7816133665001814,88.04811217517084,242.62680795681138,nonlocomotion
260.6487106959025,195.69979921976724,22.872674020131402,11.23478953043618,-7.562231762189382,20.553916007914445,345.2763344268041,278.76126664313534,358.4472148895264,286.1370687484741,-2.2331924438476562,7.033711242675804,-11.68022737908869,3.7254143035158194,85.6799346385633,243.32297618516878,nonlocomotion
261.11150557200114,196.28178698221842,22.47005500793455,11.489558823903387,-7.917840492725366,20.35834132830302,352.06177362471766,265.1134100747364,358.54714228312173,286.2768372217814,-2.0438773473103993,7.028803126017277,-11.233083415031428,3.6711426655451476,83.38548019848928,243.75519403632646,nonlocomotion
261.6991465886434,196.84656559626262,22.132888380686428,11.713606373469027,-8.268547083731397,20.141908729806236,358.6683533494035,251.75375625848633,358.6652132670085,286.35648212432864,-1.8266775767008312,7.021686776479112,-10.771732422445877,3.655452311444435,81.19286634597418,243.9251272031073,nonlocomotion
262.36025218963624,197.48631658554078,21.884081840515126,12.02069996198018,-8.527152853012074,20.00034063180288,365.14879082942116,238.71666981363734,358.65227762858075,286.48158950805663,-1.6836631139119334,7.044690704345709,-10.3723515319824,3.6507723426818615,79.09179724075554,243.87501597773561,nonlocomotion
262.99616985321046,198.03974018096923,21.636146004994703,12.270519955952958,-8.769348637262967,19.840688803616697,371.49266645718484,226.00857037609572,358.62426465352377,286.8081755320231,-1.5624101003010935,7.132855478922534,-10.005017360986411,3.646026717915248,77.05732404304541,243.63119536615324,nonlocomotion
263.6204827626546,198.73540376027424,21.397641499837224,12.577379194895409,-8.991634699014503,19.681902073591182,377.6922921699181,213.63178128495485,358.60269304911293,286.972362391154,-1.4559919993082815,7.150964546203636,-9.674634290352836,3.6270838578542026,75.09816916401196,243.22652538828123,nonlocomotion
264.26613127390544,199.3968361536662,21.15012633005778,12.876250251134232,-9.234769822066664,19.534374761281526,383.75638521593476,201.55577538445309,358.64916445414224,287.30858929951984,-1.3297636667887502,7.262316862742108,-9.34959778995633,3.658194733865585,73.21700859874231,242.67275418224412,nonlocomotion
264.87219320933025,200.05832668940226,20.94880952835083,13.217316579818721,-9.390973269497888,19.46303126105557,389.74597063544286,189.83298797105806,358.61392911275226,287.66890951792396,-1.2594166437784793,7.371645291646314,-9.076583378403253,3.6665575539623916,71.39274212546609,242.00241890233966,nonlocomotion
265.48395856221515,200.6311892191569,20.80698299407957,13.42372881571452,-9.461462434132887,19.26142895438456,395.56301778024164,178.5005962869813,358.6694475809733,287.9850068410238,-1.1391749064127623,7.404970169067394,-8.78002763805966,3.580137030283595,69.57783662852664,241.21083805800924,nonlocomotion
265.9979066848755,201.17299140294392,20.651252492268874,13.569738435745231,-9.50242820694331,18.99248748904184,401.15461008651994,167.58307261100478,358.70228996276853,288.4023810068766,-1.0090431213378963,7.5805825233459645,-8.4640083994184,3.612103453136612,67.80223030379366,240.28618373738507,nonlocomotion
