,EEG ,FireRate
,1.804481652,5.999528178
,2.00760472,9.99921363
,1.70488361,3.999685452
,1.699954495,3.999685452
,1.97191215,0
,1.82459644,1.999842726
,1.589726883,0
,1.48715505,0
,1.243409484,3.999685452
,1.176917614,0
,1.384708102,3.999685452
,1.711034225,3.999685452
,1.704598587,0
,1.288544187,5.999528178
